Domain,Area,Element,Item,Year,Value
"Crops and livestock products","Ghana","Area harvested","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2018","14572"
"Crops and livestock products","Ghana","Yield","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2018","7477.1"
"Crops and livestock products","Ghana","Production","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2018","108958.23"
"Crops and livestock products","Ghana","Area harvested","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2019","14723"
"Crops and livestock products","Ghana","Yield","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2019","7492.4"
"Crops and livestock products","Ghana","Production","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2019","110312.55"
"Crops and livestock products","Ghana","Area harvested","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2020","14900"
"Crops and livestock products","Ghana","Yield","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2020","7509.7"
"Crops and livestock products","Ghana","Production","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2020","111891.48"
"Crops and livestock products","Ghana","Area harvested","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2021","14769"
"Crops and livestock products","Ghana","Yield","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2021","7474.2"
"Crops and livestock products","Ghana","Production","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2021","110387.42"
"Crops and livestock products","Ghana","Area harvested","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2022","14834"
"Crops and livestock products","Ghana","Yield","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2022","7473.8"
"Crops and livestock products","Ghana","Production","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2022","110863.82"
"Crops and livestock products","Ghana","Area harvested","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2023","14890"
"Crops and livestock products","Ghana","Yield","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2023","7457.7"
"Crops and livestock products","Ghana","Production","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2023","111047.57"
"Crops and livestock products","Ghana","Area harvested","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2024","14945"
"Crops and livestock products","Ghana","Yield","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2024","7411.4"
"Crops and livestock products","Ghana","Production","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2024","110766.27"
"Crops and livestock products","Ghana","Area harvested","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2012","13700"
"Crops and livestock products","Ghana","Yield","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2012","8029.2"
"Crops and livestock products","Ghana","Production","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2012","110000"
"Crops and livestock products","Ghana","Area harvested","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2013","14110"
"Crops and livestock products","Ghana","Yield","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2013","8270"
"Crops and livestock products","Ghana","Production","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2013","116690"
"Crops and livestock products","Ghana","Area harvested","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2014","14400"
"Crops and livestock products","Ghana","Yield","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2014","8500"
"Crops and livestock products","Ghana","Production","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2014","122400"
"Crops and livestock products","Ghana","Area harvested","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2015","14400"
"Crops and livestock products","Ghana","Yield","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2015","8500"
"Crops and livestock products","Ghana","Production","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2015","122400"
"Crops and livestock products","Ghana","Area harvested","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2016","14400"
"Crops and livestock products","Ghana","Yield","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2016","8500"
"Crops and livestock products","Ghana","Production","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2016","122400"
"Crops and livestock products","Ghana","Area harvested","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2017","14400"
"Crops and livestock products","Ghana","Yield","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2017","8179.1"
"Crops and livestock products","Ghana","Production","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2017","117779.66"
"Crops and livestock products","Ghana","Area harvested","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2018","14262"
"Crops and livestock products","Ghana","Yield","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2018","8397.7"
"Crops and livestock products","Ghana","Production","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2018","119765.41"
"Crops and livestock products","Ghana","Area harvested","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2019","14132"
"Crops and livestock products","Ghana","Yield","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2019","8675.1"
"Crops and livestock products","Ghana","Production","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2019","122593.32"
"Crops and livestock products","Ghana","Area harvested","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2020","14300"
"Crops and livestock products","Ghana","Yield","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2020","8840.5"
"Crops and livestock products","Ghana","Production","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2020","126423.19"
"Crops and livestock products","Ghana","Area harvested","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2021","14456"
"Crops and livestock products","Ghana","Yield","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2021","8503.6"
"Crops and livestock products","Ghana","Production","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2021","122927.31"
"Crops and livestock products","Ghana","Area harvested","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2022","14678"
"Crops and livestock products","Ghana","Yield","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2022","8446.6"
"Crops and livestock products","Ghana","Production","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2022","123981.27"
"Crops and livestock products","Ghana","Area harvested","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2023","14705"
"Crops and livestock products","Ghana","Yield","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2023","8462.6"
"Crops and livestock products","Ghana","Production","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2023","124443.92"
"Crops and livestock products","Ghana","Area harvested","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2024","14731"
"Crops and livestock products","Ghana","Yield","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2024","8402.8"
"Crops and livestock products","Ghana","Production","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2024","123784.17"
"Crops and livestock products","Ghana","Area harvested","Cocoa beans","2012","1600300"
"Crops and livestock products","Ghana","Yield","Cocoa beans","2012","549.5"
"Crops and livestock products","Ghana","Production","Cocoa beans","2012","879348"
"Crops and livestock products","Ghana","Area harvested","Cocoa beans","2013","1600300"
